*************,Rating,RatingBinary,prepCommentText,CommentText,UserID,ProductCategory,ProductType,ProductBrand,LinkProduct,ProductName,ProductPrice,PIC,Check,Unnamed: 12
700,1,"[1, 0, 0, 0, 0]",lừa_đảo khách_hàng hình 22 5 w hành 10w nhân_viên hổ trợ bảo đặt_hàng kĩ treo đầu dê thịt chó mua,"lừa đảo khách hàng, trên hình là 22.5w nhưng đặt hành thì là 10w nhờ nhân viên hổ trợ thì bảo là đặt hàng mà xem không kĩ thì chịu. treo đầu dê bán thịt chó à không nên mua",lê H.,Phụ kiện điện thoại& Máy tính bảng,Pin sạc dự phòng,Robot,https://www.lazada.vn/products/pin-du-phong-robot-rt25-ban-nang-cap-cua-rt23-dung-luong-cao-20000mah-cuc-sac-led-hien-thi-pin-nho-gon-2-cong-sac-vao-2-cong-sac-ra-i1340085122-s11796841509.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A1340085122%253Bsrc%253ALazadaMainSrp%253Brn%253A8940165621ebe3a323b487612ab806cc%253Bregion%253Avn%253Bsku%253A1340085122_VNAMZ%253Bprice%253A329000%253Bclient%253Adesktop%253Bsupplier_id%253A200157990106%253Bbiz_source%253Ahttps%253A%252F%252Fwww.lazada.vn%252F%253Bslot%253A15%253Butlog_bucket_id%253A470687%253Basc_category_id%253A9031%253Bitem_id%253A1340085122%253Bsku_id%253A11796841509%253Bshop_id%253A772654%253BtemplateInfo%253A107883_A3_C_D_E%25231103_B_L%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=vi&location=H%E1%BB%93%20Ch%C3%AD%20Minh&price=3.29E%205&priceCompare=skuId%3A11796841509%3Bsource%3Alazada-search-voucher%3Bsn%3A8940165621ebe3a323b487612ab806cc%3BunionTrace%3A2d7cff1617268652342142788e%3BoriginPrice%3A329000%3BvoucherPrice%3A329000%3BdisplayPrice%3A329000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A1%3BbuyerId%3A0%3Btimestamp%3A1726865234521%3BsearchDisctDet%3A%5B%7B%22discountValue%22%3A0%2C%22newUserVoucher%22%3Afalse%2C%22toolCode%22%3A%22shopPromotionPart%22%2C%22voucherId%22%3A900000029084244%7D%5D&ratingscore=4.859050445103858&request_id=8940165621ebe3a323b487612ab806cc&review=674&sale=2093&search=1&source=search&spm=a2o4n.searchlistcategory.list.15&stock=1,Pin dự phòng ROBOT RT25 [Bản nâng cấp của RT23] dung lượng cao 20000mAh cục sạc led hiển thị pin nhỏ gọn 2 cổng sạc vào 2 cổng sạc ra,329,20200679,,OK
701,5,"[0, 0, 0, 0, 1]",sử_dụng linh_hoạt ngoài_trời ghi_hình video chất_lượng hình_ảnh nét màu_sắc_đẹp đêm,"Sử dụng linh hoạt trong nhà và ngoài trời, Ghi hình video chất lượng cao, Hình ảnh rõ nét và màu sắc đẹp trong đêm,",NGÔ Q.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
702,5,"[0, 0, 0, 0, 1]",sản_phẩm bền tin_cậy ghi_hình video chất_lượng hình_ảnh nét màu_sắc_đẹp đêm thiết_kế sang_trọng hiện_đại,"Sản phẩm bền và đáng tin cậy, Ghi hình video chất lượng cao, Hình ảnh rõ nét và màu sắc đẹp trong đêm, Thiết kế sang trọng và hiện đại,",Long N.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
703,5,"[0, 0, 0, 0, 1]",hình_ảnh nét màu_sắc_đẹp đêm thiết_kế sang_trọng hiện_đại nhận_diện thông_minh 24 7,"Hình ảnh rõ nét và màu sắc đẹp trong đêm, Thiết kế sang trọng và hiện đại, Nhận diện người thông minh AI 24/7,",Kiều P.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
704,5,"[0, 0, 0, 0, 1]",spham ngon bổ rẻ chất_lượng ok hãng chính_sách bảo_hành dễ_dàng lắp_đặt shop,"spham ngon bổ rẻ chất lượng cũng khá OK, chính hãng chính sách bảo hành tốt,dễ dàng lắp đặt.thanh shop",h***n,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
705,5,"[0, 0, 0, 0, 1]",bảo_hành 2 yên_tâm phích cắm eu tiện_lợi độ phân_giải 1080p hình_ảnh nét dung_lượng lưu_trữ âm_thanh hai chiều giao_tiếp dễ_dàng ống_kính zoom tăng_cường tầm dung_lượng lưu_trữ âm_thanh hai chiều giao_tiếp dễ_dàng,"Bảo hành 2 năm để yên tâm, Loại phích cắm EU tiện lợi, Độ phân giải cao 1080P cho hình ảnh rõ nét, Có nhiều dung lượng lưu trữ khác nhau, Âm thanh hai chiều để giao tiếp dễ dàng, Ống kính zoom để tăng cường tầm nhìn, Có nhiều dung lượng lưu trữ khác nhau, Âm thanh hai chiều để giao tiếp dễ dàng,",H***.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
706,5,"[0, 0, 0, 0, 1]",thương_hiệu bền_bỉ tin_cậy độ phân_giải 1080p hình_ảnh nét quy_trình cài_đặt dễ_dàng,"Thương hiệu bền bỉ và đáng tin cậy, Độ phân giải cao 1080P cho hình ảnh rõ nét, Quy trình cài đặt dễ dàng,",Huy T.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
707,5,"[0, 0, 0, 0, 1]",phích cắm eu tiện_lợi theo_dõi chuyển_động thông_minh phát_hiện chính_xác,"Loại phích cắm EU tiện lợi, Theo dõi chuyển động thông minh để phát hiện chính xác,",Anh T.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
708,5,"[0, 0, 0, 0, 1]",đóng_gói cẩn_thận giao hàng trục_trặc thẻ_nhớ k lưu_trữ video,Đóng gói cẩn thận giao hàng nhanh Bị trục trặc thẻ nhớ k lưu trữ được video,Bích N.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
709,5,"[0, 0, 0, 0, 1]",đơn_sơ y chan cam,"Nhìn thì khá là đơn sơ , nhưng y chan cam thật .",*******738,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
710,5,"[0, 0, 0, 0, 1]",hang dep giong nhu quang luon tien sip tren 100 000 ma camera bang nhua co ben nang khong hoi cao_gia,hang dep giong nhu quang cao luon tien sip tren 100.000 ma camera bang nhua co ben nang khong Hoi cao gia,PHAM N.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
